蒙之蒙,何草不黃，至未盡玄。室家分離，悲愁於心。
蒙之乾,海為水王，聰聖且明。百流歸德，無有叛逆，常饒優足。
蒙之坤,天之所有，禍不過家。左輔右弼，金玉滿堂。常盈不亡，富如敖倉。
蒙之屯,安息康居，異國穹廬。非吾習俗，使我心憂。
蒙之需,范公鴟夷，善賈飾資。東之營丘，易字子皮。把珠載金，多得利歸。
蒙之訟,老楊日衰，條多枯枝。爵級不進。遂下摧隤。
蒙之師,小狐渡水，污濡其尾。利得無幾，與道合契。
蒙之比,豕生魚魴，鼠舞庭堂。奸佞施毒，上下昏荒，君失其國。
蒙之小畜,天地配享，六位光明。陰陽順序，以成和平。
蒙之履,踝踵足傷，右指病癰。失旅後時，利走不來。
蒙之泰,異體殊患，各有所屬。四鄰孤媼，欲寄我室。王母罵詈，求不可得。
蒙之否,操耜鄉畝，折貨稷黍。飲食充口，安利無咎。
蒙之同人,所受大喜，福祿重來。樂且日富，蒙慶得財。
蒙之大有,舉盃飲酒，無益溫寒。指直失取，亡利不懽。
蒙之謙,日月相望，光明盛昌。三聖茂承，功德大隆。
蒙之豫,猾夫爭強，民去其鄉。公孫叔子，戰於瀟湘。
蒙之隨,猿墮高木，不踒手足。還歸其室，保我金玉。
蒙之蠱,逐狐東山，水遏我前。深不可涉，失利後便。
蒙之臨,鑿井求玉，非卞氏寶。名困身辱，勞無所得。
蒙之觀,黃玉溫厚，君子所服。甘露溽暑，萬物生茂。
蒙之噬嗑,畫龍頭頸，文章不成。甘言善語，說辭無名。
蒙之賁,招禍致凶，來弊我邦。病在手足，不得安息。
蒙之剝,履位乘勢，靡有絕斃。皆為隸圉，與眾庶伍。
蒙之復,獐鹿雉兔，群聚東囿。盧黃白脊，俱往趨逐。九齚十得，君子有喜。
蒙之無妄,織金未成，緯畫無名。長子逐兔，鹿起失路。後利不得，因無所據。
蒙之大畜,天厭周德，命與仁國。以禮靖民，兵革休息。
蒙之頤,重譯賀芝，來除我憂。善說遂良，與喜相求。
蒙之大過,膏澤肥壤，人民孔樂。宜利俱止，長安富貴。
蒙之坎,白龍黑虎，起鬐暴怒。戰於涿鹿，蚩尤敗走。居止不殆，君安其所。
蒙之離,抱關傳語，聾跛摧殆。眾賤無下，災殃所在。
蒙之咸,憂禍解除，喜至慶來。坐立歡門，與樂為鄰。
蒙之恆,折鋒載殳，輿馬放休。狩軍依營，天下安寧。
蒙之遯,至德之君，仁政且溫。伊呂股肱，國富民安。
蒙之大壯,千里望城，不見山青。老兔蝦蟆，遠絕無家。
蒙之晉,有莘季女，為夏妃后。貴夫壽子，母字四海。
蒙之明夷,不虞之患，禍至無門。奄忽暴卒，痛傷我心。
蒙之家人,飛鷹退去，不食鄰鳥。憂患解除，君主安居。
蒙之睽,跮蹉側跌，申酉為祟。亥戌滅明，顏子隱藏。
蒙之蹇,司錄憑怒，謀議無道。商民失政，殷人乏祀。
蒙之解,望鷄得雉，冀馬獲駒。大德生少，有瘳從居。
蒙之損,忉忉怛怛，如將不活。黍稷之恩，靈輒以存。
蒙之益,莫莫輯輯，夜作晝匿。謀議我資，來攻我室。空盡我財，幾無以食。
蒙之夬,天之所壞，不可強支。眾口指笑，雖貴必危。
蒙之姤,目動睫瞤，喜來加身。舉家蒙歡，吉利無殃。
蒙之萃,黿羹芬香，染指弗嘗。口飢於手，子公恨饞。
蒙之升,天福所豐，兆如飛龍。成子得志，六三以興。
蒙之困,氓伯以婚，抱布自媒。棄禮急情，卒罹悔憂。
蒙之震,夏姬親附，心聽悅喜。利以搏取，無言不許。
蒙之艮,南山昊天，刺政閔身。疾悲無辜，背憎為仇。
蒙之井,三人為旅，俱歸北海。入門上堂，拜謁王母。勞賜我酒，懽樂無彊。
蒙之革,愆淫旱疾，傷害稼穡。喪制病來，農人無食。
蒙之鼎,攫飯把肉，以就口食。所往必得，無有虛乏。
蒙之漸,鳥飛無翼，兔走折足。雖欲會同，未得所欲。
蒙之歸妺,體重飛難，不得踰關，不離室垣。
蒙之豐,四雄並處，人民愁苦。擁兵西東，不得安所。
蒙之旅,譯重關牢，求解己憂。心感乃成，與喜俱居。
蒙之巽,患解憂除，王母相於。與喜俱來，使我安居。
蒙之兌,冬生不華，老女無家。霜冷蓬室，更為枯株。
蒙之渙,震慄恐懼，多所畏惡。行道留難，不可以步。
蒙之節,三人共妻，莫適為雌。子無名氏，公不可知。
蒙之中孚,早凋被霜，花葉不長。非時為災，家受其殃。
蒙之小過,雉兔之東，狼虎所從。貪叨凶惡，不可止息。
蒙之既濟,馬驚破車，主墮深溝。身死魂去，離其室廬。
蒙之未濟,山林麓藪，非人所往。鳥獸無禮，使我心苦。
需之需,久旱三年，草木不生。粢盛空之，無以供靈。
需之乾,火滅復息，君明其德。仁人可遇，身受利福。
需之坤,溫山松柏，常茂不落。鸞凰以庇，得其歡樂。
需之屯,西誅不服，恃強負力。倍道趨敵，師徒敗覆。
需之蒙,三塗五岳，陽城太室。神明所伏，獨無兵革。
需之訟,二牛生狗，以戌為母。荊夷上侵，姬伯出走。
需之師,鳧遊江海，役行千里。以為死亡，復見空素。長主凶憂。
需之比,太乙駕騮，從天上來。徵君叔季，封為魯侯。無有凶憂。
需之小畜,紝績獨居，寡處無夫。陰陽失忘，為人僕使。
需之履,兵征大宛，北出玉門。與胡寇戰，平城道西。七日絕糧，身幾不全。
需之泰,楚靈暴虐，罷極民力。禍起乾溪，棄疾作毒。扶仗奔逃，身死亥室。
需之否,雌單獨居，歸其本巢。毛羽憔悴，志如死灰。
需之同人,兩矛相刺，勇力鈞敵。交綏結和，不破不缺。
需之大有,乘船渡濟，載水逢火。賴幸免禍，蒙我生全。
需之謙,喪寵溢尤，政傾家覆。我宗失國，秦滅周室。
需之豫,冬無藏冰，春陽不通。陰流為賊，國被其殃。
需之隨,田鼠野雞，意常欲逃。拘制籠檻，不得動搖。
需之蠱,佩玉蕊兮，無所繫之。旨酒一盛，莫與笑語。孤寡獨特，常愁憂苦。
需之臨,沒游源口，求鮫為寶。家危自懼，復出生道。
需之觀,河水孔穴，壞敗我室。水深無岸，魚鱉傾側。
需之噬嗑,教羊牧兔，使魚捕鼠。任非其人，費日無功。
需之賁,升戶入室，就溫燠食。冰凍北陸，不能相賊。
需之剝,孤竹之墟，老婦无夫。傷於蒺藜，不見少妻。東郭堂姜，武氏破亡。
需之復,凶禍災殃，日益明彰。福不可釐，三郤夷傷。
需之無妄,載璧秉珪，請命于河。周公作誓，沖人瘳愈。
需之大畜,鳥升鵲舉，照臨東海。龍降庭堅，為陶叔後。封圻英六，履祿綏厚。
需之頤,危坐至暮，請求不得。膏澤不降，政戾民忒。
需之大過,宜昌娶婦，東家歌舞。宴樂有序，長樂嘉喜。
需之坎,鑿井求玉，非卞氏寶。名困身辱，勞無所得。
需之離,鵠思其雄，欲隨鳳東。順理羽翼，出次須日。中留北邑，復反其室。
需之咸,早霜晚雪，傷害禾麥。損功棄力，飢無所食。
需之恆,蝙螺生子，深目黑醜。雖飾相就，眾人莫取。
需之遯,去如飛鴻，避凶且東。遂得全脫，與福相逢。
需之大壯,婚姻合配，同枕共牢。以降休嘉，子孫封侯。
需之晉,咸陽辰巳，長安戌亥。丘陵生止，非魚鰌市。不可辭阻，終無悔咎。
需之明夷,螟䖝為賊，害我五穀。簞食空虛，家無所食。
需之家人,謀恩拜德，東歸吾國。慷慨宴笑，歡樂有福。
需之睽,齋具贖狸，不聽我辭。係於虎鬚，牽不得來。
需之蹇,比目附翼，歡樂相得。行止集周，終不離忒。
需之解,一指食肉，口無所得。染其鼎鼐，舌饞於腹。
需之損,曳綸江海，釣挂魴鯉。王孫得利，以享仲友。
需之益,商紂牧野，顛敗所在。賦斂重數，黎元愁苦。
需之夬,北辰紫宮，衣冠立中。含和建德，常受天福。
需之姤,輕戰尚勇，不知兵權。為敵所制，從師北奔。
需之萃,大口宣舌，神使仲言。黃龍景星，出應德門。與福上天，天下安昌。
需之升,凶子禍孫，把劍向門。凶訟讙囂，驚駭我家。
需之困,祝伯善言，能事鬼神。辭祈萬歲，使君延年。
需之井,珪璧琮璋，執贄見王。百里甯戚，應聘齊秦。
需之革,昧旦乘車，履危蹈溝。亡失裙襦，摧折兩軸。
需之鼎,膠著木連，不出牛欄。斯饗羔羊，家室相安。
需之震,卷領遁世，仁德不舍。三聖攸同，周家茂興。
需之艮,黍稷苗稻，垂秀方造。中旱不雨，傷風枯槁。
需之漸,冠帶南遊，與福喜逢。期於嘉貞，拜為公卿。
需之歸妹,一巢九子，同公共母。柔順利貞，出入不殆，福祿所在。
需之豐,韓氏長女，嫁於東海。宜家富主，柔順以居。利得過倍。
需之旅,因禍受福，喜盈我室，所願必得。
需之巽,晉平有疾，迎醫秦國。病乃大患，分為兩豎。逃匿膏盲，和不能愈。
需之兌,杜飛門啟，患憂大解。脩福行善，不為身禍。
需之渙,追亡逐北，至止而得。稚叔相呼，反其室廬。
需之節,鳥鳴既端，一呼三顛。動搖東西，危慄不安。疾病無患。
需之中孚,龍化為虎，泰山之陽。眾多從者，莫敢救藏。
需之小過,焱風忽起，車馳揭揭。棄名追亡，失其和節，憂心惙惙。
需之既濟,遊居石門，祿安身全。受福西鄰，歸飲玉泉。
需之未濟,登高上山，見王自言。申理我讒，得職蒙恩。
訟之訟,文巧俗弊，將反大質。僵死如麻，流血濡櫓。皆知其母，不識其父，干戈乃止。
訟之乾,文王四乳，仁愛篤厚。子畜十男，夭折無有。
訟之坤,日入望東，不見子家。長女無夫，左手搔頭。
訟之屯,東上泰山，見堯自言。申理我冤，以解憂患。
訟之蒙,奎軫溫湯，過角宿房。宣時布和，無所不通。
訟之需,引船牽頭，雖拘無憂。王母善禱，禍不成災。
訟之師,鳧得水沒，喜笑自啄。毛羽悅澤，利以攻玉。公出不復，伯氏客宿。
訟之比,水流趍下，欲至東海。求我所有，買魴與鯉。
訟之小畜,獐鹿逐牧，安飽其居。反還次舍，無有疾故。
訟之履,樹植藿豆，不得芸鋤。王事靡盬，秋無所收。
訟之泰,弱水之西，有西王母。生不知死，與天相保。
訟之否,數窮廓落，困於歷室。卒登玉堂，與堯侑食。
訟之同人,子鉏執麟，春秋作元。陰聖將終，尼父悲心。
訟之大有,尹氏伯奇，父子生離。無罪被辜，長舌所為。
訟之謙,播木折枝，與母別離。九皋難扣，絕不相知。
訟之豫,弱雞無距，與鵲格鬭。翅折目盲，為鳩所傷。
訟之隨,甲乙丙丁，俱歸我庭。三丑六子，入門見母。
訟之蠱,桑葉螟蠹，衣弊如絡。女工不成，絲布為玉。
訟之臨,開牢闢門，巡狩釋冤。夏臺羑里，湯文悅喜。
訟之觀,欽明之德，坐前玉食。必保嘉美，長受安福。
訟之噬嗑,武夫司空，多口爭訟。金火當戶，民不安處，年飢無有。
訟之賁,紫閣九重，尊嚴在中。黃帝堯舜，履行至公。冠帶垂衣，天下康寧。
訟之剝,負牛上山，力劣行難。烈風雨雪，遮遏我前。中道復還，憂者自歡。
訟之復,褰兔缺唇，行難齒寒。口痛不言，為身生患。
訟之無妄,合體比翼，嘉耦相得。與君同好，使我有福。
訟之大畜,口啄卒卒，憂從中出。喪我寶貝，妻妾失位。
訟之頤,兩心不同，或從西東。明論終日，莫適相從。
訟之大過,啞啞笑言，與善飲食。長樂行觴，千秋起舞，拜受大福。
訟之坎,初憂後喜，與福為市。八佾列陳，飲御諸友。
訟之離,西徙無家，破其新車。王孫失利，不如止居。
訟之咸,鳳凰在左，麒麟處右。仁聖相遇，伊呂集聚。時無殃咎，福為我母。
訟之恆,區脫康居，慕仁入朝。湛露之歡，三爵畢恩，復歸舊廬。
訟之遯,疾貧望幸，使伯行販。關牢擇羊，多得大牂。
訟之大壯,處高不傷，雖危不亡。握珠懷玉，還歸其鄉。
訟之晉,右手棄酒，左手牧牂。行逢禮御，餌得玉杯。
訟之明夷,養虎牧狼，還自賊傷。大勇小捷，雖危不亡。
訟之家人,戴堯扶禹，松喬彭祖。西遇王母，道路夷易，無敢難者。
訟之睽,秋冬探巢，不得鵲鶵。衘指北去，媿我少姬。
訟之蹇,兩羝三牂，俱之代鄉。留連多難，損其食糧。
訟之解,南徙無廬，鳥破其巢。伐木思初，不利動搖。
訟之損,爭訟不已，更相擊劍。張季弱口，被髮北走。
訟之益,延頸望酒，不入我口。初喜後否，得利無有。
訟之夬,被髮傾走，寇逐我後。亡失刀兵，身全不傷。
訟之姤,麟鳳所遊，安樂無憂。君子撫民，世代千秋。
訟之萃,褰衣涉河，水深漬罷。賴幸舟子，濟脫無他。
訟之升,憒憒不悅，憂從中出。喪我金罌，無妄失位。
訟之困,絆跳不遠，心與言反。尼父望家，萏菡未華。
